Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Mean Vietnamese,Example Sentence Mean English,Example Sentence Sound,Hanviet
活字,かつじ,[sound:活字.ogg],,con chữ trên máy đánh chữ (khuôn chữ),この大きな活字は眼に楽だ。,Chữ in to này rất dễ nhìn.,This large type is easy on the eyes.,[sound:この大きな活字は眼に楽だ.ogg],HOẠT TỰ
停留所,ていりゅうじょ,[sound:停留所.ogg],"<img src=""停留所.jpg"">",nơi dừng lại,バスの停留所まで競争しよう。,Hãy cạnh tranh đến trạm xe buýt.,I'll race you to the bus stop.,[sound:バスの停留所まで競争しよう.ogg],ĐÌNH LƯU SỞ
冒す,おかす,[sound:冒す.ogg],"<img src=""冒す.jpg"">","bất chấp, không màn đến",喫煙が彼の肺を冒した。,Hút thuốc đã làm tổn thương phổi của anh ấy.,Smoking has affected his lungs.,[sound:喫煙が彼の肺を冒した.ogg],
朗読,ろうどく,[sound:朗読.ogg],"<img src=""朗読.jpg"">",đọc lên thành tiếng,彼はその詩を一本調子で朗読した。,Anh ấy đã đọc thơ đó một cách đơn điệu.,He read the poem in a monotone.,[sound:彼はその詩を一本調子で朗読した.ogg],LÃNG ĐỘC
インテリ,インテリ,[sound:インテリ.ogg],,thành phần tri thức,あの本の読者たちは自分のことをインテリだと思っている。,Các độc giả của cuốn sách đó cho rằng họ là những người trí thức.,The readers of that book think themselves sophisticated.,[sound:あの本の読者たちは自分のことをインテリだと思っている.ogg],
瞑る,つぶる,[sound:瞑る.ogg],,nhắm (mắt),あまりに光が強いので彼女は目をつぶった。,"Vì ánh sáng quá mạnh, cô ấy đã nhắm mắt.",She shut her eyes because the light was so strong.,[sound:あまりに光が強いので彼女は目をつぶった.ogg],
手順,てじゅん,[sound:手順.ogg],"<img src=""手順.jpg"">",trình tự thao tác,windowXPにはＣＤを焼く機能があるそうですが、その手順を解説しているページを教えてください。,"Nghe nói rằng Windows XP có chức năng ghi đĩa CD, vui lòng chỉ cho tôi trang hướng dẫn thực hiện các bước.",I hear that you can burn CDs with Windows XP; could you tell me a website that explains the procedures involved?,[sound:windowXPにはＣＤを焼く機能があるそうですが、その手順を解説しているページを教えてください.ogg],THỦ THUẬN
見せびらかす,みせびらかす,[sound:見せびらかす.ogg],"<img src=""見せびらかす.jpg"">",khoe khoang,彼女は宝石を得意げに見せびらかした。,Cô ấy đã tỏ ra tự hào khi khoe trang sức.,She proudly displayed her jewels.,[sound:彼女は宝石を得意げに見せびらかした.ogg],KIẾN
円滑,えんかつ,[sound:円滑.ogg],"<img src=""円滑.jpg"">","trôi chảy, suôn sẻ",彼は、中国語をしっていたので、私たちは計画を円滑に実行できた。,"Vì anh ấy biết tiếng Trung, chúng tôi đã thực hiện kế hoạch một cách trôi chảy.",His knowledge of Chinese enabled us to carry out our plan smoothly.,[sound:彼は、中国語をしっていたので、私たちは計画を円滑に実行できた.ogg],VIÊN HOẠT
運用,うんよう,[sound:運用.ogg],"<img src=""運用.jpg"">",vận dụng,,,,,VẬN DỤNG
大筋,おおすじ,[sound:大筋.ogg],,đại khái,その計画に大すじで賛成していただけませんか。,Bạn có thể tán thành ý tưởng chính trong kế hoạch đó không?,Would you agree to the plan in principle?,[sound:その計画に大すじで賛成していただけませんか.ogg],ĐẠI CÂN
速やか,すみやか,[sound:速やか.ogg],,"nhanh, (làm) ngay",決定の後すみやかに実行に移して欲しい。,Tôi muốn bạn thực hiện quyết định một cách nhanh chóng sau khi đã đưa ra.,I want quick action subsequent to the decision.,[sound:決定の後すみやかに実行に移して欲しい.ogg],TỐC
すんなり,すんなり,[sound:すんなり.ogg],,mảnh khảnh,スーザンは賢いから試験にすんなり通ると思うよ。,Tôi nghĩ Susan thông minh nên cô ấy sẽ dễ dàng vượt qua kỳ thi.,"Susan is intelligent, and I expect her to pass the exam easily.",[sound:スーザンは賢いから試験にすんなり通ると思うよ.ogg],
整然,せいぜん,[sound:整然.ogg],"<img src=""整然.jpg"">",trật tự,その別荘は清潔で整然としていた。,Biệt thự đó sạch sẽ và ngăn nắp.,The cottage was clean and tidy.,[sound:その別荘は清潔で整然としていた.ogg], NHIÊN
声明,せいめい,[sound:声明.ogg],"<img src=""声明.jpg"">",thanh minh,彼の声明は疑いの余地がない。,Tuyên bố của anh ấy không để lại nghi ngờ.,His statement admits of no doubt.,[sound:彼の声明は疑いの余地がない.ogg],THANH 
急かす,せかす,[sound:急かす.ogg],,hối thúc,急かしたくはないけど、次のバスに乗ろう。,"Tôi không muốn thúc giục, nhưng hãy lên xe buýt tiếp theo.","I don't want to rush you, but let's try to catch the next bus.",[sound:急かしたくはないけど、次のバスに乗ろう.ogg],CẤP
そびえる,そびえる,[sound:そびえる.ogg],"<img src=""そびえる.jpg"">",cao vút,その峰は雲の上にそびえている。,Đỉnh núi đó cao vút trên mây.,The peak rises above the clouds.,[sound:その峰は雲の上にそびえている.ogg],
携わる,たずさわる,[sound:携わる.ogg],,liên quan,彼は医学の研究に携わっている。,Anh ấy đang tham gia nghiên cứu y học.,He is engaged in medical research.,[sound:彼は医学の研究に携わっている.ogg],HUỀ
だるい,だるい,[sound:だるい.ogg],"<img src=""だるい.jpg"">",bủn rủn,だるいし頭がずきずきする。,Tôi cảm thấy mệt mỏi và đau đầu.,I feel listless and have a throbbing headache.,[sound:だるいし頭がずきずきする.ogg],
突っ張る,つっぱる,[sound:突っ張る.ogg],,"chống đỡ, căng",,,,,ĐỘT TRƯƠNG
単一,たんいつ,[sound:単一.ogg],"<img src=""単一.jpg"">",đơn độc,ねじ、てこ、くさび、滑車などは単一機械と呼ばれる。,"Vít, cần câu, nêm, bánh răng... được gọi là các máy đơn.","The screw, the lever, the wedge, the pulley, etc. are called simple machines.",[sound:ねじ、てこ、くさび、滑車などは単一機械と呼ばれる.ogg],ĐƠN NHẤT
ずるずる,ずるずる,[sound:ずるずる.ogg],,lê lết,私はぬかるんだ斜面をずるずると滑り下りた。,Tôi trượt dốc bùn xuống một cách trơn trượt.,I slithered down the muddy slope.,[sound:私はぬかるんだ斜面をずるずると滑り下りた.ogg],
世辞,せじ,[sound:世辞.ogg],"<img src=""世辞.jpg"">",nịnh nọt,,,,,THẾ TỪ
丸ごと,まるごと,[sound:丸ごと.ogg],"<img src=""丸ごと.jpg"">","trọn vẹn, hoàn toàn",彼女は１課を丸ごと暗記することで満点を取った。,Cô ấy đã đạt điểm tối đa bằng việc ghi nhớ toàn bộ bài học.,She got full marks by memorizing the whole lesson.,[sound:彼女は１課を丸ごと暗記することで満点を取った.ogg],HOÀN
命中,めいちゅう,[sound:命中.ogg],,trúng (đích),戦艦ビスマルク号を海のもくずとするには、何発もの魚雷を命中させなければならなかった。,"Để chìm chiến hạm Bismarck, chúng ta phải đánh trúng nhiều quả torpê.",It took many torpedo hits to send the battleship Bismarck to Davy Jones's locker.,[sound:戦艦ビスマルク号を海のもくずとするには、何発もの魚雷を命中させなければならなかった.ogg],MỆNH TRUNG
面目,めんぼく,[sound:面目.ogg],,"danh dự, thể diện",ケンはその試験に合格して面目を保った。,Ken đã vượt qua kỳ thi đó và giữ được sự tôn trọng.,Ken saved his face by passing the examination.,[sound:ケンはその試験に合格して面目を保った.ogg],DIỆN MỤC
脆い,もろい,[sound:脆い.ogg],"<img src=""脆い.jpg"">","giòn, dễ vỡ",彼女は情にもろい。,Cô ấy rất nhạy cảm.,She is accessible to pity.,[sound:彼女は情にもろい.ogg],
催す,もよおす,[sound:催す.ogg],,"mở màng, cử hành",彼は大々的にパーティーを催した。,Anh ấy tổ chức một bữa tiệc to lớn.,He gave a party on a large scale.,[sound:彼は大々的にパーティーを催した.ogg],THÔI
淑やか,しとやか,[sound:淑やか.ogg],,"thanh nhã, duyên dáng",その婦人の態度はしとやかだ。,Thái độ của người phụ nữ đó nhã nhặn.,The lady has a graceful manner.,[sound:その婦人の態度はしとやかだ.ogg],THỤC
じっくり,じっくり,[sound:じっくり.ogg],,"kỹ lưỡng, triệt để",じっくり彼に耳を貸す者はいない。,Không ai nghe anh ấy một cách kỹ lưỡng.,No one stops to listen to him.,[sound:じっくり彼に耳を貸す者はいない.ogg],
希少,きしょう,[sound:希少.ogg],"<img src=""希少.jpg"">",hiếm có,古代において塩は希少で貴重な商品であった。,Muối là một mặt hàng quý hiếm và có giá trị trong thời cổ đại.,Salt was a rare and costly commodity in ancient times.,[sound:古代において塩は希少で貴重な商品であった.ogg],"HY THIẾU,THIỂU"
